"Plot Title: MC5 Air - 10569713"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10569713, SEN S/N: 10569713)","Temp, °F (LGR S/N: 10569713, SEN S/N: 10569713)","Coupler Detached (LGR S/N: 10569713, SEN S/N: 10569713)","End Of File (LGR S/N: 10569713, SEN S/N: 10569713)"
383,05/12/15 05:22:18 PM,14.3943,86.459,,
384,05/12/15 05:27:18 PM,14.3953,86.277,,
385,05/12/15 05:32:18 PM,14.3949,86.097,,
386,05/12/15 05:37:18 PM,14.3934,86.097,,
387,05/12/15 05:42:18 PM,14.3930,85.915,,
388,05/12/15 05:47:18 PM,14.3927,85.735,,
389,05/12/15 05:52:18 PM,14.3927,85.735,,
390,05/12/15 05:57:18 PM,14.3908,85.554,,
391,05/12/15 06:02:18 PM,14.3908,85.554,,
392,05/12/15 06:07:18 PM,14.3933,85.374,,
393,05/12/15 06:12:18 PM,14.3924,85.014,,
394,05/12/15 06:17:18 PM,14.3919,84.834,,
395,05/12/15 06:22:18 PM,14.3940,84.474,,
396,05/12/15 06:27:18 PM,14.3940,84.474,,
397,05/12/15 06:32:18 PM,14.3935,84.295,,
398,05/12/15 06:37:18 PM,14.3917,84.115,,
399,05/12/15 06:42:18 PM,14.3927,83.935,,
400,05/12/15 06:47:18 PM,14.3937,83.757,,
401,05/12/15 06:52:18 PM,14.3919,83.579,,
402,05/12/15 06:57:18 PM,14.3901,83.399,,
403,05/12/15 07:02:18 PM,14.3915,83.399,,
404,05/12/15 07:07:18 PM,14.3925,83.221,,
405,05/12/15 07:12:18 PM,14.3931,82.864,,
406,05/12/15 07:17:18 PM,14.3927,82.686,,
407,05/12/15 07:22:18 PM,14.3930,82.152,,
408,05/12/15 07:27:18 PM,14.3950,81.797,,
409,05/12/15 07:32:18 PM,14.3937,81.266,,
410,05/12/15 07:37:18 PM,14.3969,80.735,,
411,05/12/15 07:42:18 PM,14.3970,80.206,,
412,05/12/15 07:47:18 PM,14.3940,79.502,,
413,05/12/15 07:52:18 PM,14.3957,78.975,,
414,05/12/15 07:57:18 PM,14.3960,78.449,,
415,05/12/15 08:02:18 PM,14.3976,77.923,,
416,05/12/15 08:07:18 PM,14.3989,77.225,,
417,05/12/15 08:12:18 PM,14.3992,76.703,,
418,05/12/15 08:17:18 PM,14.3991,76.006,,
419,05/12/15 08:22:18 PM,14.3989,75.312,,
420,05/12/15 08:27:18 PM,14.4007,74.791,,
421,05/12/15 08:32:18 PM,14.4005,74.098,,
422,05/12/15 08:37:18 PM,14.4008,73.580,,
423,05/12/15 08:42:18 PM,14.4021,72.891,,
424,05/12/15 08:47:18 PM,14.4025,72.372,,
425,05/12/15 08:52:18 PM,14.4038,71.683,,
426,05/12/15 08:57:18 PM,14.4022,70.995,,
427,05/12/15 09:02:18 PM,14.4027,70.480,,
428,05/12/15 09:07:18 PM,14.4040,69.793,,
429,05/12/15 09:12:18 PM,14.4043,69.278,,
430,05/12/15 09:17:18 PM,14.4043,68.592,,
431,05/12/15 09:22:18 PM,14.4060,68.077,,
